,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
113, 0, 0, 0, 0, 20.0, 636, 77125, 113, 1.2438921000000107
114, 0, 0, 0, 0, 140.0, 640, 77765, 114, 1.3183621999999957
115, 0, 0, 0, 0, 85.0, 561, 78326, 115, 1.2213620000000276
116, 0, 0, 0, 0, 135.0, 491, 78817, 116, 1.0224268999999993
117, 0, 0, 0, 0, 135.0, 639, 79456, 117, 1.3308719999999994
118, 0, 0, 0, 0, 150.0, 581, 80037, 118, 1.205005199999988
119, 0, 0, 0, 0, 190.0, 636, 80673, 119, 1.3666810999999939
120, 0, 0, 0, 0, 235.0, 999, 81672, 120, 2.0953877999999975
121, 0, 0, 0, 0, 45.0, 488, 82160, 121, 1.0276350999999977
122, 0, 0, 0, 0, 155.0, 589, 82749, 122, 1.2253947000000096
123, 0, 0, 0, 0, 55.0, 438, 83187, 123, 0.9364905999999849
124, 0, 0, 0, 0, 95.0, 404, 83591, 124, 0.8317771000000107
125, 0, 0, 0, 0, 150.0, 641, 84232, 125, 1.3218128999999976
126, 0, 0, 0, 0, 125.0, 554, 84786, 126, 1.1330387000000144
127, 0, 0, 0, 0, 80.0, 454, 85240, 127, 1.0033639000000107
128, 0, 0, 0, 0, 80.0, 528, 85768, 128, 1.0833349000000112
129, 0, 0, 0, 0, 90.0, 377, 86145, 129, 0.7762639000000036
130, 0, 0, 0, 0, 105.0, 449, 86594, 130, 0.9272095000000036
131, 0, 0, 0, 0, 40.0, 546, 87140, 131, 1.1192585999999949
132, 0, 0, 0, 0, 445.0, 907, 88047, 132, 1.8224489999999776
133, 0, 0, 0, 0, 240.0, 734, 88781, 133, 1.4810946999999999
134, 0, 0, 0, 0, 80.0, 377, 89158, 134, 0.7779035999999735
135, 0, 0, 0, 0, 210.0, 939, 90097, 135, 1.887059999999991
136, 0, 0, 0, 0, 290.0, 956, 91053, 136, 1.898998199999994
137, 0, 0, 0, 0, 110.0, 517, 91570, 137, 1.0684537000000205
138, 0, 0, 0, 0, 205.0, 1046, 92616, 138, 2.133977999999985
139, 0, 0, 0, 0, 25.0, 395, 93011, 139, 0.8300246000000016
140, 0, 0, 0, 0, 115.0, 690, 93701, 140, 1.4133147000000008
141, 0, 0, 0, 0, 215.0, 812, 94513, 141, 1.6276541000000009
142, 0, 0, 0, 0, 70.0, 507, 95020, 142, 1.0467700000000093
143, 0, 0, 0, 0, 180.0, 533, 95553, 143, 1.0921974999999975
144, 0, 0, 0, 0, 150.0, 713, 96266, 144, 1.4454872999999964
145, 0, 0, 0, 0, 70.0, 583, 96849, 145, 1.1871744000000035
146, 0, 0, 0, 0, 100.0, 512, 97361, 146, 1.056909399999995
147, 0, 0, 0, 0, 195.0, 926, 98287, 147, 1.874303900000001
148, 0, 0, 0, 0, 45.0, 438, 98725, 148, 0.9254674999999963
149, 0, 0, 0, 0, 115.0, 593, 99318, 149, 1.2623589000000095
150, 0, 0, 0, 0, 120.0, 603, 99921, 150, 1.2436265000000049
151, 51.98908141285082, 50.63549524605076, 63.11436949061397, 0.9097286499999995, 210.0, 682, 100603, 151, 5.9379048000000125
152, 31.770889798093098, 50.740034354539105, 62.00788942746562, 0.9090783999999996, 170.0, 843, 101446, 152, 7.486182000000014
153, 27.587931001754033, 50.726616674756244, 61.94001167539566, 0.9084155499999998, 110.0, 630, 102076, 153, 5.614167199999997
154, 31.92836253950821, 50.687474171779975, 62.04162172820986, 0.9078985000000005, 125.0, 519, 102595, 154, 4.697186500000015
155, 25.604715065602903, 50.6501087612576, 61.76615067234746, 0.9074219500000001, 45.0, 540, 103135, 155, 4.874242199999998
156, 25.277727657713147, 50.54048229258801, 61.47466064052198, 0.9068877999999997, 180.0, 647, 103782, 156, 5.793742600000002
157, 24.810795972003273, 50.423324267069496, 61.143523662244505, 0.9062348499999996, 210.0, 804, 104586, 157, 7.252794499999993
158, 27.735505056381225, 50.579034747717515, 61.36158119057709, 0.9056345499999997, 75.0, 530, 105116, 158, 4.824540400000018
159, 24.119804064185587, 50.64140596285949, 61.27361688569397, 0.9051067000000003, 105.0, 643, 105759, 159, 5.829059000000029
160, 26.266901349926563, 50.53667157212972, 61.302952343616525, 0.9045910000000003, 90.0, 503, 106262, 160, 4.642137300000002
161, 22.705240710494444, 50.46617856959707, 61.21145496171774, 0.9041900499999996, 60.0, 388, 106650, 161, 3.527599500000008
